"Title","LFS: ILO unemployment rate: West Midlands: All: %: SA"
"CDID","YCNG"
"Source dataset ID","LMS"
"PreUnit",""
"Unit","%"
"Release date","19-07-2022"
"Next release","16 August 2022"
"Important notes",
"1992","11.0"
"1993","11.7"
"1994","9.7"
"1995","8.7"
"1996","8.5"
"1997","6.9"
"1998","6.2"
"1999","6.8"
"2000","6.0"
"2001","5.5"
"2002","5.7"
"2003","5.8"
"2004","5.2"
"2005","4.8"
"2006","5.9"
"2007","6.3"
"2008","6.7"
"2009","9.7"
"2010","9.0"
"2011","9.1"
"2012","8.7"
"2013","9.2"
"2014","7.2"
"2015","5.8"
"2016","5.7"
"2017","5.6"
"2018","4.9"
"2019","4.6"
"2020","5.3"
"2021","5.2"
"1992 Q2","10.9"
"1992 Q3","11.5"
"1992 Q4","12.0"
"1993 Q1","12.2"
"1993 Q2","11.6"
"1993 Q3","11.4"
"1993 Q4","11.7"
"1994 Q1","10.8"
"1994 Q2","10.0"
"1994 Q3","9.2"
"1994 Q4","8.9"
"1995 Q1","8.7"
"1995 Q2","8.5"
"1995 Q3","8.9"
"1995 Q4","8.6"
"1996 Q1","8.6"
"1996 Q2","9.4"
"1996 Q3","8.3"
"1996 Q4","7.7"
"1997 Q1","7.2"
"1997 Q2","6.8"
"1997 Q3","7.3"
"1997 Q4","6.5"
"1998 Q1","6.2"
"1998 Q2","5.9"
"1998 Q3","6.1"
"1998 Q4","6.6"
"1999 Q1","7.1"
"1999 Q2","7.0"
"1999 Q3","6.4"
"1999 Q4","6.7"
"2000 Q1","6.1"
"2000 Q2","6.1"
"2000 Q3","5.7"
"2000 Q4","6.0"
"2001 Q1","5.6"
"2001 Q2","5.5"
"2001 Q3","5.4"
"2001 Q4","5.5"
"2002 Q1","5.6"
"2002 Q2","5.7"
"2002 Q3","5.9"
"2002 Q4","5.6"
"2003 Q1","6.0"
"2003 Q2","5.6"
"2003 Q3","5.9"
"2003 Q4","5.7"
"2004 Q1","5.6"
"2004 Q2","5.5"
"2004 Q3","5.0"
"2004 Q4","4.8"
"2005 Q1","4.7"
"2005 Q2","4.6"
"2005 Q3","4.7"
"2005 Q4","5.3"
"2006 Q1","5.2"
"2006 Q2","5.6"
"2006 Q3","6.1"
"2006 Q4","6.7"
"2007 Q1","6.4"
"2007 Q2","6.7"
"2007 Q3","6.4"
"2007 Q4","5.7"
"2008 Q1","6.1"
"2008 Q2","6.3"
"2008 Q3","6.6"
"2008 Q4","7.8"
"2009 Q1","9.2"
"2009 Q2","10.7"
"2009 Q3","10.0"
"2009 Q4","9.0"
"2010 Q1","9.2"
"2010 Q2","8.4"
"2010 Q3","8.9"
"2010 Q4","9.6"
"2011 Q1","9.6"
"2011 Q2","8.5"
"2011 Q3","8.9"
"2011 Q4","9.3"
"2012 Q1","8.6"
"2012 Q2","8.7"
"2012 Q3","8.5"
"2012 Q4","8.9"
"2013 Q1","9.4"
"2013 Q2","9.8"
"2013 Q3","9.3"
"2013 Q4","8.4"
"2014 Q1","7.8"
"2014 Q2","7.7"
"2014 Q3","7.2"
"2014 Q4","6.1"
"2015 Q1","6.4"
"2015 Q2","6.1"
"2015 Q3","5.8"
"2015 Q4","5.1"
"2016 Q1","5.6"
"2016 Q2","6.2"
"2016 Q3","5.5"
"2016 Q4","5.6"
"2017 Q1","5.7"
"2017 Q2","5.9"
"2017 Q3","5.6"
"2017 Q4","5.1"
"2018 Q1","4.8"
"2018 Q2","4.7"
"2018 Q3","5.0"
"2018 Q4","5.2"
"2019 Q1","5.1"
"2019 Q2","4.6"
"2019 Q3","4.1"
"2019 Q4","4.4"
"2020 Q1","5.0"
"2020 Q2","4.7"
"2020 Q3","5.1"
"2020 Q4","6.3"
"2021 Q1","6.1"
"2021 Q2","5.1"
"2021 Q3","4.9"
"2021 Q4","4.9"
"2022 Q1","4.6"
"1992 APR","10.7"
"1992 MAY","10.9"
"1992 JUN","11.4"
"1992 JUL","11.3"
"1992 AUG","11.5"
"1992 SEP","11.4"
"1992 OCT","11.9"
"1992 NOV","12.0"
"1992 DEC","12.1"
"1993 JAN","12.6"
"1993 FEB","12.2"
"1993 MAR","11.9"
"1993 APR","11.8"
"1993 MAY","11.6"
"1993 JUN","11.5"
"1993 JUL","11.4"
"1993 AUG","11.4"
"1993 SEP","11.5"
"1993 OCT","11.4"
"1993 NOV","11.7"
"1993 DEC","11.5"
"1994 JAN","11.1"
"1994 FEB","10.8"
"1994 MAR","10.3"
"1994 APR","10.0"
"1994 MAY","10.0"
"1994 JUN","9.7"
"1994 JUL","9.6"
"1994 AUG","9.2"
"1994 SEP","9.1"
"1994 OCT","9.1"
"1994 NOV","8.9"
"1994 DEC","9.0"
"1995 JAN","8.7"
"1995 FEB","8.7"
"1995 MAR","8.9"
"1995 APR","8.9"
"1995 MAY","8.5"
"1995 JUN","8.6"
"1995 JUL","8.6"
"1995 AUG","8.9"
"1995 SEP","8.6"
"1995 OCT","8.7"
"1995 NOV","8.6"
"1995 DEC","8.6"
"1996 JAN","8.7"
"1996 FEB","8.6"
"1996 MAR","8.8"
"1996 APR","9.2"
"1996 MAY","9.4"
"1996 JUN","9.2"
"1996 JUL","8.7"
"1996 AUG","8.3"
"1996 SEP","8.4"
"1996 OCT","7.8"
"1996 NOV","7.7"
"1996 DEC","7.3"
"1997 JAN","7.3"
"1997 FEB","7.2"
"1997 MAR","6.9"
"1997 APR","6.8"
"1997 MAY","6.8"
"1997 JUN","7.0"
"1997 JUL","7.3"
"1997 AUG","7.3"
"1997 SEP","7.0"
"1997 OCT","6.5"
"1997 NOV","6.5"
"1997 DEC","6.8"
"1998 JAN","6.4"
"1998 FEB","6.2"
"1998 MAR","6.2"
"1998 APR","6.3"
"1998 MAY","5.9"
"1998 JUN","5.9"
"1998 JUL","6.2"
"1998 AUG","6.1"
"1998 SEP","6.3"
"1998 OCT","6.5"
"1998 NOV","6.6"
"1998 DEC","6.5"
"1999 JAN","6.8"
"1999 FEB","7.1"
"1999 MAR","6.9"
"1999 APR","6.8"
"1999 MAY","7.0"
"1999 JUN","6.9"
"1999 JUL","6.6"
"1999 AUG","6.4"
"1999 SEP","6.4"
"1999 OCT","6.6"
"1999 NOV","6.7"
"1999 DEC","6.6"
"2000 JAN","6.2"
"2000 FEB","6.1"
"2000 MAR","6.2"
"2000 APR","6.3"
"2000 MAY","6.1"
"2000 JUN","6.0"
"2000 JUL","5.7"
"2000 AUG","5.7"
"2000 SEP","5.8"
"2000 OCT","6.2"
"2000 NOV","6.0"
"2000 DEC","5.9"
"2001 JAN","5.9"
"2001 FEB","5.6"
"2001 MAR","5.4"
"2001 APR","5.2"
"2001 MAY","5.5"
"2001 JUN","5.4"
"2001 JUL","5.2"
"2001 AUG","5.4"
"2001 SEP","5.5"
"2001 OCT","5.4"
"2001 NOV","5.5"
"2001 DEC","5.7"
"2002 JAN","5.6"
"2002 FEB","5.6"
"2002 MAR","5.6"
"2002 APR","5.6"
"2002 MAY","5.7"
"2002 JUN","5.8"
"2002 JUL","5.9"
"2002 AUG","5.9"
"2002 SEP","5.9"
"2002 OCT","5.9"
"2002 NOV","5.6"
"2002 DEC","5.8"
"2003 JAN","5.9"
"2003 FEB","6.0"
"2003 MAR","6.0"
"2003 APR","5.7"
"2003 MAY","5.6"
"2003 JUN","5.7"
"2003 JUL","5.5"
"2003 AUG","5.9"
"2003 SEP","5.8"
"2003 OCT","5.8"
"2003 NOV","5.7"
"2003 DEC","5.5"
"2004 JAN","5.4"
"2004 FEB","5.6"
"2004 MAR","5.5"
"2004 APR","5.6"
"2004 MAY","5.5"
"2004 JUN","5.1"
"2004 JUL","5.2"
"2004 AUG","5.0"
"2004 SEP","5.1"
"2004 OCT","4.9"
"2004 NOV","4.8"
"2004 DEC","4.8"
"2005 JAN","4.8"
"2005 FEB","4.7"
"2005 MAR","4.5"
"2005 APR","4.5"
"2005 MAY","4.6"
"2005 JUN","4.6"
"2005 JUL","4.5"
"2005 AUG","4.7"
"2005 SEP","4.9"
"2005 OCT","5.0"
"2005 NOV","5.3"
"2005 DEC","5.4"
"2006 JAN","5.4"
"2006 FEB","5.2"
"2006 MAR","5.3"
"2006 APR","5.3"
"2006 MAY","5.6"
"2006 JUN","5.8"
"2006 JUL","6.1"
"2006 AUG","6.1"
"2006 SEP","6.2"
"2006 OCT","6.5"
"2006 NOV","6.7"
"2006 DEC","6.7"
"2007 JAN","6.3"
"2007 FEB","6.4"
"2007 MAR","6.3"
"2007 APR","6.7"
"2007 MAY","6.7"
"2007 JUN","6.6"
"2007 JUL","6.5"
"2007 AUG","6.4"
"2007 SEP","6.3"
"2007 OCT","6.2"
"2007 NOV","5.7"
"2007 DEC","5.7"
"2008 JAN","6.0"
"2008 FEB","6.1"
"2008 MAR","6.4"
